id,question,ground_truth,generated_answer,hit_at_k,first_relevant_rank,reciprocal_rank,context_keyword_recall,answer_keyword_recall,answer_token_f1,response_relevance_1_to_5,faithfulness_1_to_5,judge_reason,retrieved_urls
Q1,What are the core courses in the MS in Applied Data Science program?,"The core courses in the MS in Applied Data Science program include Machine Learning, Data Engineering Platforms, Statistical Inference, and Applied Data Science.","The specific core courses in the MS in Applied Data Science program are not listed in the retrieved context. Therefore, I am unable to provide the names of the core courses. For more information, you may visit the program's curriculum page: [Online Program Curriculum](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/online-program/).",0,0,0.0,0.5,0.25,0.3415,1,1,"The generated answer does not address the question about the core courses and incorrectly states that the information is not available, neglecting the relevant details present in the retrieved context.",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/online-program/ | https://datascience.uchicago.edu/education/masters-programs/online-program/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/course-progressions/ | https://datascience.uchicago.edu/education/masters-programs/in-person-program/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/in-person-program/
Q2,What are the admission requirements for the MS in Applied Data Science program?,"Applicants need a bachelor's degree in a related field, with coursework in programming, statistics, and mathematics. The application also requires a personal statement, letters of recommendation, and a resume.","The admission requirements for the MS in Applied Data Science program include:

1. **English Language Proficiency**:
   - TOEFL: Minimum score of 5 (no subscore requirement).
   - IELTS: Minimum score of 7 (no subscore requirement).
   - Waiver policy is available to review.

2. **Academic Background and Experience**:
   - Relevant academic qualifications and any professional experience may be considered.

For further information, visit the application page: [How to Apply](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/) or the international students section: [International Students](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/).",1,1,1.0,0.2857,0.0,0.1085,1,1,"The generated answer does not address the specific admission requirements outlined in the ground truth, missing key elements such as the need for a bachelor's degree and relevant coursework.",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/course-progressions/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/tuition-fees-aid/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/our-students/
Q3,Can you provide information about the capstone project?,"The capstone project is a key component of the MS in Applied Data Science program, where students work on real-world problems, applying their learned skills to develop data-driven solutions.","The Capstone Project is the culminating experience in the Master’s in Applied Data Science program at the University of Chicago. In this project, students work in teams on real business problems, using authentic data to develop data science solutions that address organizational challenges. They collaborate with project sponsors and can choose to join research-focused teams.

Key features include:

- **Team Structure:** Teams consist of four students, guided by an instructor and a subject matter expert.
- **Sponsor Obligations:** Sponsors need to provide a detailed problem statement, access to relevant data, and maintain engagement through regular meetings.
- **Project Timeline:** Projects can be submitted year-round for placement in the Spring (largest cohort) and Autumn quarters, with a submission deadline of one month before the quarter starts.

For more information, visit the [Capstone Projects page](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects/).",1,1,1.0,0.75,0.5,0.2584,4,4,"The generated answer provides relevant and accurate details about the capstone project, aligning well with the ground truth, but some details may vary slightly.",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/
Q4,What scholarships are available for the program?,"The Data Science Institute Scholarship, MS in Applied Data Science Alumni Scholarship, etc.","The MS in Applied Data Science program offers the following scholarships:

1. **Partial Tuition Scholarships**: Available to top applicants; no separate application required, but early application submission is recommended to maximize chances.
   
2. **Merit-based Scholarships**: Automatically considered for eligible applicants upon application to the program. Early applications are encouraged.

For detailed information, you can visit the [Tuition, Fees, & Aid page](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/tuition-fees-aid/).",1,1,1.0,1.0,0.3333,0.1798,2,3,The generated answer mentions relevant scholarship types but omits specific names like 'Data Science Institute Scholarship' and 'MS in Applied Data Science Alumni Scholarship'. It contains some supported claims but lacks full alignment with the retrieved context.,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/tuition-fees-aid/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/tuition-fees-aid/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/tuition-fees-aid/
Q5,What are the minimum scores for the TOEFL and IELTS English Language Requirement?,"Minimum scores for the Master's in Applied Data Science program: TOEFL, 102 (no subscore requirement); IELTS, 7 (no subscore requirement).","The minimum scores for the English Language Requirement for the Master’s in Applied Data Science program are as follows:

- TOEFL: 5 (current requirement; no subscore requirement)
- IELTS: 7 (no subscore requirement)

For more details, you can visit the page [here](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/).",1,2,0.5,1.0,0.75,0.5195,1,1,"The generated answer incorrectly states the minimum TOEFL score as 5 instead of the correct 102, which makes it unrelated and unsupported by the context.",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/
Q6,Is there an application fee waiver?,"For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy.","Yes, there is a possibility for an application fee waiver. For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy. More information can be found at [this link](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/).",0,0,0.0,1.0,1.0,0.5075,5,5,The generated answer directly addresses the question by confirming the possibility of an application fee waiver and accurately refers to the relevant fee waiver policy from the retrieved context.,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/online-program/
Q7,What are the deadlines for the in-person program?,"In-person program deadlines include: Priority Application Deadline, Scholarship Priority Deadline, International Application Deadline (requiring visa sponsorship from UChicago), Second Priority Application Deadline, Third Priority Application Deadline, and Final Application Deadline.","The application portal for the In-Person MS in Applied Data Science program for 2027 entrance will open in September 2026. The application for the Autumn 2026 2-Year Thesis Track closed on December 4, 2025. Future application timelines will be announced once available. 

For complete details, visit [Events & Deadlines](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/events-deadlines/).",1,1,1.0,0.0,0.0,0.1684,1,1,The generated answer does not directly address the specific in-person program deadlines and lacks support from the retrieved context.,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/events-deadlines/ | https://datascience.uchicago.edu/education/masters-programs/in-person-program/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/
Q8,How long will it take for me to receive a decision on my application?,In-Person application decisions are released approximately 1 to 2 months after each respected deadline. Online application decisions are released on a rolling basis.,"Admissions decisions for the Master's in Applied Data Science are typically released 1-2 months after each application deadline. Only completed applications are reviewed. 

For more details, you can visit the FAQ page: [UChicago MS in Applied Data Science FAQs](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/).",1,1,1.0,0.0,0.0,0.3077,5,5,The generated answer directly addresses the question about the timeline for application decisions and is fully supported by the retrieved context.,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/international-students/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/
Q9,Can I set up an advising appointment with the enrollment management team?,"Yes, meet your admissions counselor by scheduling an appointment at https://apply-psd.uchicago.edu/portal/applied-data-science.","Yes, you can set up an advising appointment with the enrollment management team. You can schedule an appointment with any of the enrollment management staff, including Patrick Vonesh for the Online Program and Jose Alvarado for the In-Person Program. For more details, visit the following URL: [How to Apply](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/).",1,1,1.0,0.6667,0.3333,0.2381,2,2,"The answer inaccurately states that an appointment can be made with the enrollment management team when the ground truth specifies contacting an admissions counselor specifically. Moreover, while some names mentioned in the answer are included in the retrieved context, the URL provided leads to a different webpage unrelated to the advising appointment process.",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/instructors-staff/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/instructors-staff/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/instructors-staff/
Q10,Where can I mail my official transcripts?,"The University of Chicago, Attention: MS in Applied Data Science Admissions, 455 N Cityfront Plaza Dr., Suite 950, Chicago, Illinois 60611.","You can mail your official transcripts to the following address:

The University of Chicago  
Attention: MS in Applied Data Science Admissions  
455 N Cityfront Plaza Dr., Suite 2800  
Chicago, Illinois 60611  

Ensure that the transcripts are sent in a school-sealed envelope to be considered official. [Learn more here](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/).",1,2,0.5,1.0,1.0,0.4706,2,2,The answer provides incorrect mailing address details; the relevant information is partially present but misrepresented.,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/ | https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/events-deadlines/
